,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,Unnamed: 18
238,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,6530000,Durazno,1.0,1.0,0.0,5.0,5.0,6000.0,30000.0,
239,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,10.0,10.0,0.0,30.0,3.0,1500.0,45000.0,
240,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,7690000,Membrillo,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
241,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,7920000,Nopalitos,42.0,7.0,0.0,28.0,4.0,4500.0,126000.0,
242,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,9130000,Uva,1372.0,1052.5,0.0,2183.0,2.07,2450.18,5348742.94,
243,2001,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,38.5,38.5,0.0,226.75,5.89,13421.13,3043242.31,
244,2001,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5110000,Albahaca,317.0,317.0,0.0,1059.0,3.34,29874.42,31637016.0,
245,2001,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,6.0,0.0,6.0,0.0,0.0,0.0,0.0,
246,2001,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5610000,Berenjena,5.0,5.0,0.0,5.35,1.07,35000.0,187250.0,
247,2001,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,1.0,1.0,0.0,8.0,8.0,3500.0,28000.0,
248,2001,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,76.5,71.5,5.0,667.52,9.34,3955.77,2640553.12,
